,,Level,,,
Network measures,Category,Trip,Household,Metropolitan area,
Relative discontinuity,Hierarchy,X,,,
Proportion of limited access roads,Hierarchy,X,X,,
Proportion of freeways,Hierarchy,,,X,
Treeness,Topology,X,X,X,
Completeness,Topology,,,X,
Percentage of nodal degrees,Topology,X,X,,
Circuity,Topology,X,,X,
Shapefactor,Morphology,X,X,,
Street density,Scale,X,X,X,
Intersection density,Scale,X,X,,
,,,,,
